class_a,class_b,l2_distance
config_1,config_4,5.568207740783691
config_4,config_8,5.92433500289917
config_5,config_9,5.947761058807373
config_4,config_5,5.998680591583252
config_1,config_9,6.248866081237793
config_2,config_4,6.41206169128418
config_4,config_9,6.585201263427734
config_1,config_5,6.596334934234619
config_1,config_8,6.645801067352295
config_1,config_2,6.808295249938965
config_8,config_9,6.971248626708984
config_2,config_9,6.998486042022705
config_2,config_5,7.205700874328613
config_5,config_8,7.28955078125
config_2,config_8,7.502076148986816
config_4,config_6,7.562659740447998
config_5,config_6,8.089370727539062
config_1,config_6,8.620278358459473
config_2,config_3,8.636346817016602
config_6,config_9,8.671504020690918
config_2,config_6,8.74764633178711
config_6,config_8,8.92225170135498
config_12,config_9,8.967860221862793
config_12,config_4,9.696724891662598
config_1,config_3,9.723820686340332
config_12,config_5,9.766497611999512
config_3,config_5,9.782951354980469
config_3,config_4,9.994791984558105
config_3,config_9,10.064541816711426
config_1,config_12,10.077644348144531
config_12,config_6,10.19832706451416
config_12,config_8,10.329255104064941
config_3,config_8,10.610294342041016
config_3,config_6,11.18645191192627
config_12,config_2,11.666311264038086
config_1,other,11.816021919250488
config_4,other,12.08776569366455
config_5,other,12.298930168151855
config_2,other,12.473803520202637
config_9,other,12.592146873474121
config_8,other,12.856348037719727
config_12,config_3,13.73667049407959
config_12,other,14.35839557647705
config_6,other,14.37408447265625
config_3,other,14.727438926696777
