filename,domain,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9,config_10,config_11,config_12,best_config
doc_01.txt,Financial_Reports,0.5,0.9,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_4
doc_02.txt,Financial_Reports,0.7,0.7,0.7,0.7,0.2,0.8,0.3,0.8,0.9,0.9,0.9,0.9,config_9
doc_03.txt,Financial_Reports,0.0,0.7,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_4
doc_04.txt,Financial_Reports,0.9,1.0,0.9,0.9,0.3,0.9,0.3,0.9,1.0,1.0,1.0,1.0,config_2
doc_05.txt,Financial_Reports,0.4,0.5,0.4,0.7,0.6,0.7,0.7,0.7,0.5,0.7,0.5,0.7,config_4
doc_06.txt,Financial_Reports,0.3,0.8,0.6,0.6,0.2,0.7,0.2,0.7,1.0,1.0,1.0,1.0,config_9
doc_07.txt,Financial_Reports,1.0,0.7,0.9,0.9,0.2,0.4,0.1,0.9,1.0,1.0,1.0,1.0,config_1
doc_08.txt,Financial_Reports,0.8,0.8,1.0,0.8,0.5,0.6,0.5,0.8,1.0,1.0,1.0,1.0,config_3
doc_09.txt,Financial_Reports,0.9,0.6,0.8,0.6,0.6,0.7,0.6,0.7,1.0,1.0,1.0,1.0,config_9
doc_10.txt,Financial_Reports,0.8,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.0,0.8,0.0,0.7,config_5
doc_11.txt,Financial_Reports,0.9,0.9,0.9,0.9,0.0,1.0,0.1,0.9,1.0,1.0,1.0,1.0,config_6
doc_12.txt,Financial_Reports,1.0,0.9,0.9,0.9,0.1,0.9,0.1,1.0,1.0,1.0,1.0,1.0,config_1
doc_13.txt,Financial_Reports,0.8,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,config_2
